Attrition,OverTime,MaritalStatus_Single,TotalWorkingYears,JobLevel,DepartmentSalaryRatio,YearsInCurrentRole,MonthlyIncome,Age,EducationReturnRatio,JobRole_Sales Representative,YearsWithCurrManager,StockOptionLevel,YearsAtCompany,JobInvolvement,BusinessTravel_Travel_Frequently,JobSatisfaction,EnvironmentSatisfaction,JobRole_Laboratory Technician,MaritalStatus_Married,JobRole_Research Director,MaritalStatus_Divorced,Department_Research & Development,JobRole_Manager,ManagementStabilityRatio,JobRole_Manufacturing Director,Department_Sales,JobRole_Healthcare Representative,DistanceFromHome,PositionStagnationRatio,BusinessTravel_Non-Travel
0,1,1,-0.8070643925784048,1,0.3728555515280593,-0.6152821931238183,-0.8838083024583276,0.3367339583705589,0.415206221314698,0,-0.3147663692635607,0,-0.4910064335777606,2,0,4,4,0,0,0,0,1,0,0.75,0,0,0,-0.8872131838247239,0.5,0
0,1,0,0.3496317306815124,3,1.7105481651309642,-0.0632743665189888,1.1472213863290623,2.416561348306364,1.911783834515813,0,-0.0345080029295605,1,-0.1645571086753146,3,0,4,2,0,1,0,0,0,1,0.6666666666666666,0,1,0,-1.01056543769991,0.0,0
0,1,0,-0.1644554352117841,2,0.9041189910878944,0.7647373733882553,-0.1750082531502832,0.6651277567814755,0.6860646268690523,0,0.8062670960724398,1,0.1618922162271313,3,1,3,4,1,0,0,1,1,0,0.875,0,0,0,-0.0237474066984201,0.5,0
0,0,0,0.8637188965748089,2,0.7092797163211054,0.7647373733882553,-0.3328261844166533,1.5408445525439198,0.7927221948227533,0,0.8062670960724398,1,-0.0013324462240916,3,0,4,3,0,1,0,0,0,0,1.0,0,1,0,0.5930138626775111,0.0,0
1,0,0,0.7351971051014847,3,1.5996808632595816,-1.1672900197286478,0.7529951677148188,0.0083401599596422,1.5417512658015626,0,-1.1555414682655611,2,-0.9806804209314296,3,1,3,1,0,0,0,1,1,0,0.0,1,0,0,0.099604847176766,0.0,0
0,0,1,-0.1644554352117841,3,1.2629374851592778,0.7647373733882553,0.4855755506699198,-0.2105890389809687,1.348572041712772,0,1.08652546240644,0,0.4883415411295773,3,1,3,3,0,0,0,0,0,0,0.8,0,1,0,-1.01056543769991,0.0,0
0,0,0,-1.3211515584717013,1,0.3106068236683363,-1.1672900197286478,-0.9668591922633756,-0.2105890389809687,0.3133308351092365,0,-1.1555414682655611,1,-0.9806804209314296,3,0,4,3,1,0,0,1,1,0,0.0,0,0,0,-0.6405086760743514,0.0,0
0,0,0,1.1207624795214572,2,0.8071638113779934,-1.1672900197286478,-0.3043637311330819,1.1029861546626976,0.8142426109706967,0,-0.0345080029295605,3,-0.3277817711265376,3,0,4,1,0,0,0,1,1,0,0.8,1,0,0,-0.8872131838247239,0.0,0
0,0,0,-0.6785426011050807,2,1.0184273967228843,0.2127295467834259,-0.0225004810786093,-1.1957704342137183,0.9815468598061898,0,-0.0345080029295605,1,-0.1645571086753146,3,1,2,3,0,0,0,1,1,0,0.6666666666666666,1,0,0,-1.01056543769991,0.1666666666666666,0
0,1,0,1.1207624795214572,2,0.8066861996552847,1.5927491132954996,-0.3050009502364454,1.1029861546626976,0.7416132704935395,0,0.8062670960724398,0,1.957363503190584,4,1,3,3,0,0,0,1,1,0,0.3684210526315789,1,0,0,0.8397183704278836,0.1052631578947368,0
1,1,0,-0.5500208096317566,1,0.3373530801400332,0.7647373733882553,-0.9311749224750174,-0.867376635802802,0.3101398303090211,0,0.8062670960724398,0,-0.0013324462240916,1,0,1,2,1,1,0,0,1,0,1.0,0,0,0,-0.1470996605736064,0.0,0
0,0,0,0.6066753136281606,3,2.157053743660835,-0.3392782798214035,1.49662986134007,1.8692383509548365,1.9830507601967569,0,-0.3147663692635607,1,-0.4910064335777606,3,0,3,1,0,1,1,0,1,0,0.75,0,0,0,-0.8872131838247239,0.0,0
0,0,0,-0.5500208096317566,1,0.3800197273686924,-0.6152821931238183,-0.8742500159078745,0.3367339583705589,0.3493646885076137,0,-0.3147663692635607,1,-0.4910064335777606,3,0,2,2,1,1,0,0,1,0,0.75,0,0,0,-1.01056543769991,0.0,0
0,0,0,-0.4214990181584324,2,0.8060493840250061,-0.6152821931238183,-0.3058505757075968,-0.3200536384512743,0.7410278248487844,0,0.8062670960724398,1,0.1618922162271313,2,1,3,4,0,1,0,0,1,0,0.875,0,0,1,0.099604847176766,0.875,0
0,0,1,-0.5500208096317566,1,0.3973729532937814,-0.8912861064262331,-0.8510977218189992,-0.4295182379215798,0.3829827985112162,0,-1.1555414682655611,0,-0.9806804209314296,3,0,4,3,1,0,0,0,1,0,0.0,0,0,0,-0.8872131838247239,0.0,0
0,1,1,0.0925881477348641,2,1.094845272356304,-1.1672900197286478,0.079454575459557,-0.7579120363324965,1.0551973979814238,0,-1.1555414682655611,0,-1.1439050833826525,2,0,4,3,0,0,0,0,1,0,1.0,1,0,0,-0.8872131838247239,1.0,0
0,0,0,1.2492842709947811,4,1.728797460911511,1.3167451999930848,1.1741969950381188,0.2272693589002533,2.1329402427998003,0,0.5260087297384397,1,2.120588165641807,2,0,4,2,0,1,0,0,0,0,0.3,0,1,0,1.8265364014293732,0.45,0
0,0,0,-0.935586184051729,1,0.4155221987567185,-0.6152821931238183,-0.8268833958911848,0.1178047594299478,0.4004748013278342,0,-0.3147663692635607,3,-0.4910064335777606,4,1,3,4,0,0,0,1,1,0,0.75,0,0,0,-0.2704519144487926,0.0,0
0,0,0,-0.2929772266851083,2,0.6904556395710922,0.7647373733882553,-0.3606514185968613,0.8840569557220865,0.7372725748583308,0,0.8062670960724398,1,0.1618922162271313,3,0,2,4,0,1,0,0,0,0,0.875,0,1,0,-0.8872131838247239,0.375,0
0,0,1,0.8637188965748089,2,1.2043098262737408,0.7647373733882553,0.3989137526124784,1.7597737514845309,1.4858425878900443,0,1.6470421950744405,0,1.1412401909344694,3,0,1,4,0,0,0,0,0,0,0.7142857142857143,0,1,0,-1.01056543769991,0.5714285714285714,0
0,0,0,-0.1644554352117841,2,0.856039411001868,0.7647373733882553,-0.2391549762222129,0.2272693589002533,0.6495808238554137,0,0.8062670960724398,3,-0.0013324462240916,3,0,1,2,0,1,0,0,1,0,1.0,1,0,0,0.099604847176766,1.0,0
0,0,0,0.2211099392081882,2,1.0892731355913672,-0.0632743665189888,0.0720203525869824,-0.1011244395106632,1.098826024509173,0,-0.0345080029295605,1,-0.3277817711265376,4,0,1,4,0,0,0,1,1,0,0.8,0,0,1,-0.7638609299495376,0.0,0
0,0,0,1.2492842709947811,5,2.592405867534251,2.9727686798075728,2.450759265443077,0.3367339583705589,2.640506219256749,0,2.2075589277424403,0,2.120588165641807,3,0,3,3,0,1,0,0,0,1,0.6,0,1,0,-0.8872131838247239,0.05,0
1,0,0,-0.03593364373846,2,0.786626507301512,-0.6152821931238183,-0.3317641525777141,1.6503091520142252,0.7231717326837535,0,0.8062670960724398,0,0.1618922162271313,2,0,2,3,0,1,0,0,1,0,0.875,0,0,0,-0.1470996605736064,0.875,0
0,1,0,-0.1644554352117841,3,1.2347855071100031,-0.0632743665189888,0.2661597727450742,0.1178047594299478,1.2456145346526082,0,-0.5950247355975609,1,-0.3277817711265376,2,0,3,4,0,1,0,0,1,0,0.4,1,0,0,-0.8872131838247239,0.0,0
0,0,0,-0.935586184051729,2,0.7601986586449544,-0.6152821931238183,-0.3670236096304967,-1.6336288320949408,0.7668655754211197,0,-0.5950247355975609,2,-0.8174557584802066,2,0,4,4,0,1,0,0,1,0,1.0,1,0,0,-1.01056543769991,1.0,0
0,0,1,1.7633714368880775,3,1.673551476371887,0.7647373733882553,0.8515517223683797,2.416561348306364,1.5385511544164372,0,-0.0345080029295605,0,0.3251168786783543,3,0,4,4,0,0,0,0,1,0,0.4444444444444444,1,0,0,1.086422878178256,0.5555555555555556,0
0,0,0,-1.3211515584717013,1,0.4287361230849973,-1.1672900197286478,-0.8092536673647934,-0.7579120363324965,0.47743396840328,0,-1.1555414682655611,1,-0.9806804209314296,3,0,3,4,1,0,0,1,1,0,0.0,0,0,0,1.8265364014293732,0.0,0
0,0,1,3.1771111430946437,5,2.9629538634748136,-0.3392782798214035,2.8067523378555084,2.0881675498954477,2.8858079444091413,0,0.8062670960724398,0,-0.0013324462240916,3,0,2,4,0,0,0,0,0,1,1.0,0,0,0,-0.1470996605736064,1.0,0
0,0,1,-0.6785426011050807,1,0.5726564555279374,-0.3392782798214035,-0.61723831088458,-1.4146996331543298,0.5519187204506589,0,-0.5950247355975609,0,-0.4910064335777606,3,0,2,4,1,0,0,0,1,0,0.5,0,0,0,1.8265364014293732,0.25,0
0,0,0,-0.1644554352117841,1,0.4298505504379847,0.7647373733882553,-0.8077668227902786,-0.867376635802802,0.4336203253690101,0,0.8062670960724398,1,0.4883415411295773,4,0,3,3,0,1,0,0,1,0,0.7,0,0,0,1.7031841475541871,0.0,0
0,0,1,1.2492842709947811,5,2.8499077418550414,1.04074128669067,2.8313914765188986,0.3367339583705589,2.90278586810704,0,1.08652546240644,0,2.28381282809303,3,0,2,2,0,0,0,0,0,1,0.3809523809523809,0,1,0,-0.2704519144487926,0.5714285714285714,0
0,1,0,2.7915457686746707,4,2.1336507692481,3.248772593109988,1.4654061252752566,2.0881675498954477,2.0563844013010093,0,1.36678382874044,1,1.957363503190584,3,0,2,4,0,1,0,0,1,0,0.4736842105263157,1,0,0,1.7031841475541871,0.7894736842105263,0
0,0,0,2.6630239772013464,4,2.769988787803887,-0.0632743665189888,2.31439437732328,1.4313799530736142,2.7942814967020024,0,-0.3147663692635607,1,-0.3277817711265376,3,0,4,4,0,0,1,1,1,0,0.6,0,0,0,-1.01056543769991,0.2,0
1,1,0,-1.3211515584717013,1,0.4542087482961371,-1.1672900197286478,-0.775268648518738,-1.6336288320949408,0.4175691061215844,0,-1.1555414682655611,1,-1.1439050833826525,2,1,4,3,0,1,0,0,1,0,1.0,0,0,0,-0.7638609299495376,1.0,0
0,1,0,-0.4214990181584324,2,0.7199200700298396,-0.6152821931238183,-0.4207624206808218,0.6651277567814755,0.6618463013956554,0,-0.5950247355975609,0,-0.3277817711265376,3,0,3,3,0,0,0,1,1,0,0.4,0,0,1,-0.1470996605736064,0.0,0
0,1,0,1.2492842709947811,4,2.799441510704268,-0.3392782798214035,2.353689555364032,1.7597737514845309,2.573619054343477,0,-0.3147663692635607,3,-0.3277817711265376,3,0,3,3,0,1,1,0,1,0,0.6,0,0,0,-0.7638609299495376,0.2,0
0,0,0,-0.2929772266851083,2,0.4612137202292006,-0.3392782798214035,-0.7659227683360728,1.8692383509548365,0.4652585491088971,0,-0.3147663692635607,2,-0.4910064335777606,3,0,3,1,0,1,0,0,1,0,0.75,0,0,0,-0.0237474066984201,0.5,0
0,0,1,-0.1644554352117841,1,0.6407957279677364,0.7647373733882553,-0.5263283854713817,-0.5389828373918853,0.5891046800348325,0,0.8062670960724398,0,0.1618922162271313,3,0,3,4,1,0,0,0,1,0,0.875,0,0,0,2.443297670805305,0.875,1
1,0,0,-0.8070643925784048,1,0.4180094600441847,-0.6152821931238183,-0.7633738919226185,-0.9768412352731076,0.4463529490661569,1,-0.5950247355975609,1,-0.6542310960289835,3,1,3,1,0,1,0,0,0,0,0.6666666666666666,0,1,0,-1.01056543769991,0.3333333333333333,0
0,0,0,-0.2929772266851083,3,2.177113436014608,-0.6152821931238183,1.5233930636813386,-0.648447436862191,2.001492298006543,0,-0.5950247355975609,1,-0.8174557584802066,3,1,3,2,0,0,1,1,1,0,1.0,0,0,0,-0.7638609299495376,1.0,0
0,0,1,-0.1644554352117841,3,1.056303726636233,-1.1672900197286478,0.1801351937909963,0.1178047594299478,1.180571485847257,0,-1.1555414682655611,0,-0.9806804209314296,3,0,2,4,0,0,0,0,0,0,0.0,0,1,0,-0.8872131838247239,0.0,0
0,0,0,0.992240688048133,1,0.423800801950339,-0.6152821931238183,-0.8158382647662167,1.9787029504251417,0.3896140765845278,0,-0.0345080029295605,1,-0.3277817711265376,2,0,4,2,0,1,0,0,1,0,0.8,0,0,0,-0.8872131838247239,0.0,0
0,0,0,-0.6785426011050807,1,0.4306465699758328,-0.0632743665189888,-0.8067047909513393,-0.2105890389809687,0.3959076172656452,0,-0.3147663692635607,1,-0.3277817711265376,1,0,3,2,1,1,0,0,1,0,0.6,0,0,0,1.7031841475541871,0.0,0
0,0,0,-0.1644554352117841,3,1.5888549975448472,1.3167451999930848,0.7385515347052453,-0.867376635802802,1.4606868836640072,0,1.08652546240644,1,0.4883415411295773,4,0,1,2,0,0,0,1,1,0,0.8,1,0,0,1.456479639803815,0.8,0
1,0,0,-1.1926297669983772,1,0.4442101547107343,-1.1672900197286478,-0.7533907926365898,-0.648447436862191,0.3571063632725689,0,-1.1555414682655611,0,-0.9806804209314296,4,0,1,4,0,1,0,0,0,0,0.0,0,0,0,1.086422878178256,0.0,0
0,0,0,0.7351971051014847,1,0.544477363888114,0.2127295467834259,-0.6548342379830289,1.1029861546626976,0.5247600844985414,0,-0.5950247355975609,1,-0.1645571086753146,3,0,4,1,0,1,0,0,1,0,0.3333333333333333,0,0,0,-1.01056543769991,0.1666666666666666,0
0,1,0,2.7915457686746707,4,2.107744123806752,1.3167451999930848,1.5979476987748729,1.5408445525439198,2.1521301009288134,0,1.6470421950744405,1,4.242508777507706,3,0,2,3,0,0,0,1,0,1,0.303030303030303,0,0,0,-0.5171564221991651,0.0,0
1,0,0,-0.2929772266851083,2,0.7695916891915622,-1.1672900197286478,-0.3544916339310137,-0.1011244395106632,0.7417222948730845,0,-1.1555414682655611,1,-0.9806804209314296,3,0,3,1,1,0,0,1,1,0,0.0,0,0,0,0.7163661165526973,0.0,0
1,1,0,-1.3211515584717013,1,0.4003978275376043,-0.8912861064262331,-0.8470620008310301,-0.9768412352731076,0.445876877287133,0,-1.1555414682655611,0,-0.9806804209314296,3,0,4,3,1,1,0,0,1,0,0.0,0,0,0,0.3463093549271386,0.0,0
